label,review
1.0,"Muito bom. Os efeitos especiais foram bem realistas, atores muito bons, enfim, ¨®timo!"
1.0,"this movie is very motto, soldiers from ww2, those guys are some hard dogs. Andrew garfield is awesome as Doss"
1.0,Unbelievable story of bravery and heroism
1.0,One heck of a movie.
1.0,"Powerful, heartfelt, brilliant."
1.0,Amazing and a true story. Such strength. Aah
1.0,An outstanding war film. Hacksaw ridge is one of the best film ever I watch and Mel Gibson is really a great director I love his films like braveheart and this one best war film ever I love it well done Mel you did good on this one.
1.0,Excellent from start to finish.
1.0,"In 55 years, Hacksaw Ridge is the only movie I went to see twice at the theater. That says it all."
1.0,Five stars hands down! You liked it too? Then watch War Room you'll love it! Go see it in Jesus name!
1.0,"A brilliant film, such a brave man. More films should be made like this."
0.0,"Jesus fucking christ, can we stop sucking this dude's dick for one fucking second? I want those two hours of my life back, Mel Gibson."
1.0,One hell of a movie. This one surpasses Saving Private Ryan in its utterly raw and brutal depiction of violence. It also leaves you stunningly impressed by this true hero's relentless dedication. One more!
1.0,???????? ????? ???? ???????? ???????? ?? ?????. ???????????? ????????? ????????? ????? ????? ?????? ?????? ???????? ?????? ??????? ?????? ?????????? ???????? ?????????. ???? ??? ???????? ?????.
1.0,Best war film I've ever seen! Beats Saving Private Ryan!
1.0,Amazing and Extremely Violent
1.0,"Director, Mel Gibson (Director, The Passion of the Christ, The Man Without a Face) directs a very emotional and extremity brutal take on a story that was most likely and probably as depicted in the movie."
1.0,Amazing film! such an inspiring story!
1.0,Brilliantly filmed and directed but more importantly a truly humbling film.
1.0,"Fantastic movie, and glad to see a different way to write a world war 2 movie."
1.0,Great movie and great cast.
1.0,"Mel Gibson and Andrew Garfield team up in this war film epic with great performances by the actors, one of the best true stories, and some of the most auxilarating battle sequences on film being among the few war movies that should sit in the hall of fame"
1.0,This is my all time favorite WW2 movie
1.0,must watch. for any n all occasions
1.0,"One of the best movies I have ever seen. Beautifully filmed, and an even more beautiful story. Everyone should see this movie. If you aren't moved emotionally in this film you don't have a pulse."
0.0,"Unbearably cheesy first half full of every single military cliche in existence, then an overwhelming pile of gore. who is this movie made for? Gosh, paw, not me."
1.0,Fantastic! Worth the watch!
1.0,Great Movie. Andrew Garfield and supporting cast were believable and brought your emotions to the front.
1.0,"Emotionally investing, powerfully acted and gorgeously directed by Mel Gibson. Hacksaw Ridge is one of the greatest war movies of all time led by the amazing chops of Andrew Garfield."
1.0,The guy is like me I wouldn't kill no one but risk my life for someone I hardly know. A must watch. You won't be disappointed.
1.0,Thank you Mel Gibson for bringing to us the life and testimony of Desmond Doss. A man who demonstrated the love and faithfulness of God in his life.
1.0,"WOW. Incredible movie. If you can stomach Gibson's trademark war violence and gore, it is definitely worth a watch."
