label,review
1.0,Don't listen to the haters. Looking forward the next one with Darkseid.
1.0,"Better than Wonder Woman. It has a lot of issues that need to be fixed (I'm looking at you, Flash), but overall it was a very enjoyable film. Superman is Superman, here!Far superior to Star Wars TLJ!"
1.0,"Justice League started off shaky, but eventually it had a solid stand point. It was really entertaining and enjoyable."
0.0,"The cast is kinda okay, but the movie is just so ugly and generic, I can't help but hate it."
0.0,The first Justice League movie feels like a cheap cartoon.
1.0,"Amazing movie loved it , wasn't expecting how good after Batman vs Superman . Wonder Woman just a really solid character.Flash needs a bit of work ,I'm looking forward to Aquaman movie very strong character."
1.0,had a privilege of watching some of the best superheros of all time.The movie could have been much more coherent.
1.0,Fun film but with problems. Hollywood here is a tip: NEVER LET JOSS WHEDON DO ANYTHING ON YOUR FILMS! Everything he touches turns to crap! I hope that like BvS an extended version comes out on Blu-Ray WITH WHAT WOULD HAVE BEEN Zack Snyder's original cut.
1.0,Better than Star Wars the Last Jedi
1.0,Simplemente sac¨® lo m¨¢s fan de mi interior
1.0,I loved every minute of this movie! I need to watch it again in theaters!
0.0,Extremely thin plot. The low budget animated DC movies do it better which is saying something.
1.0,I loved every minute of this movie! I need to watch it again in theaters!
0.0,Extremely thin plot. The low budget animated DC movies do it better which is saying something.
0.0,Joss Weedon couldn't save it
1.0,"Overall I enjoyed the movie, would have liked a little more character development on Flash and Aquaman."
1.0,An OUTSTANDING movie!!!
1.0,A true course correction from BvS. Filled with fast paced fun and action. Superman steals the show.
0.0,What happened to Zack Snyder's vision?? This movie is like a trashy Marvel movie. And Marvel movies are trash....
1.0,there are alot of terrible movies that got better score than JL u can argue that the movie was bad but for me it was lots of fun and I enjoyed it more than most of the year's movies
0.0,A porn parody does a better job at adapting the characters.
1.0,I loved the Zack Snyder tone D.C. Had leading into justice league. The reshoots and cutting the run time down I feel hurt the overall product as well as the lighter feel that was brought to screen. I still really enjoyed the movie though aside from the Super cgi stache
0.0,Please burn this franchise down already. Poor Henry Cavill - I like him as Superman.
0.0,It was really boring and I almost fell asleep and can't say much about it but i would never watch this movie again.
1.0,Love it !!! I just love it ... I definitely will wait for the blue ray to get the extended version !! ????????????????????
1.0,Awesome film. A movie for real comic book fans.
0.0,"Lamentable dialogues that a toddler could have done better writing. I cannot believe how stupid this movie is, especially after the promising Wonder Woman this year. Did they hire a Marvel writer for the her?"
