label,name,review
1.0,drive_2011,"Amazing, all I can say."
0.0,drive_2011,"Beside Goslin, I don't get the fascination for these film honestly."
0.0,drive_2011,"I never thought i can be disappointed with a film, but this proved me wrong. The actors are amazing, but the dialogue and plot are very poor"
1.0,drive_2011,very very underated movie.
1.0,drive_2011,"Drive is an intense and incredibly powerful film from the first frame until the last. Fueled with hyper-stylized violence and music, director Nicolas Winding Refn and actor Ryan Gosling have created an arthouse masterpiece. This film will keep you on the edge of your seat the entire 100-minutes."
1.0,drive_2011,This movie has a lot of style and substance. Insanely cool film with the best romance story I've seen. Just don't expect a lot of action.
1.0,drive_2011,"A slowly paced, ultra-violent, expertly-directed crime masterpiece with a very strong, yet nuanced performance by Ryan Gosling.5/5 stars"
1.0,drive_2011,"One of my top 10 favorite movies- cinematography is amazing, 80s soundtrack is the coolest contrast to the mood of the movie, I can't say enough good things about Drive."
1.0,drive_2011,Excellent flick that treats cars as a tool to further the story but not dominate it. A hidden gem.
1.0,drive_2011,A masterpiece and one of the best films of our time. There is nothing major wrong with it and you just can't hate it. Except if you expected an action film. Then I'm sorry.
0.0,drive_2011,What! 93% critics? The movie was horrible! Stop smoking the crystal meth!
1.0,drive_2011,"Exciting, sexy, drama, romance, danger! I love it!"
1.0,drive_2011,"I'll start off by saying how much I love the soundtrack for this movie. It fit perfectly. Overall this film was well directed and well written with excellent performances from Gosling, Mulligan & Cranston. I enjoyed every minute of Drive."
1.0,drive_2011,outstanding performences by everyone involved. Truly unique directing. The best movie i've seen this year! some aren't going to like it and some will love it. I loved it!AMC Parkway point- Smyrna with bro
1.0,drive_2011,One of the greatest films ever made. And I am not afraid to say that
1.0,drive_2011,"Violent, romantic and visually stunning, Winding Refn transforms his LA setting into a contemporary oasis where doomed love and the brutal restrictions of reality are around every corner, and cars are the poetic vehicles which help speak for the lead character within them."
1.0,drive_2011,"The original Baby Driver. Between the invigorating score and the apparent ""underground"" feel of an 80s like city, this movie will leave you thinking for a long time. A modern day classic."
