label,name,review
1.0,pinocchio_1940,"Deep, multi-layered and excellently presented. a film that will be valuable for future generations."
1.0,pinocchio_1940,"It's a colorful, beautiful, effortlessly cute entertainment, with imagination bursting at the seams and a story that proves timeless; it's a must-see no matter how old you are."
1.0,pinocchio_1940,the best animated movie ever
1.0,pinocchio_1940,Wish Upon A Star.....
1.0,pinocchio_1940,A true Disney classic where any wish can come true!
1.0,pinocchio_1940,An absolutely amazing film with a message that touches the hearts of young and old alike! This film is a true classic and is one of Walt Disney's greatest milestones!
1.0,pinocchio_1940,Pinocchio Is A Classic Movie I Recommend Everyone Should Watch
1.0,pinocchio_1940,"I hope Netflix us will have this on streaming soon, :)"
0.0,pinocchio_1940,"Ok I so do not think this is a good movie it's to creepy and in appropriate because the kids are drinking beer, they are smoking then they become animals and there was a swearword in that movie! So I do not recommend this movie"
1.0,pinocchio_1940,Hands down my favorite of Disney's early animated films and possibly my favorite of all time. But seriously - who's the fucked up person who came up with bad boys mutating into donkeys? That shit is bananas.
1.0,pinocchio_1940,it's still an amazing classic
1.0,pinocchio_1940,A true classic that stands the test of time.
1.0,pinocchio_1940,Right next to Snow White as the second best animated film of all time;
1.0,pinocchio_1940,My favorite Disney movie (maybe). I don't think Disney has ever topped this when it comes to character animation and atmosphere.
0.0,pinocchio_1940,Don't even dislike it that much just making a point to a friend
1.0,pinocchio_1940,"¡Grande, vigente, divertida, infantil y adulta!"
1.0,pinocchio_1940,Pinocchio is a masterpiece with its memorable characters and dark tone!
1.0,pinocchio_1940,The craftsmanship and the magical sense of storytelling has made this film endure. Always a guaranteed pleasure to watch.
1.0,pinocchio_1940,"Still one of Disney's best. It is easily on par with Snow White, Sleeping Beauty, and Beauty and the Beast, as an example of the very finest this company has done."
1.0,pinocchio_1940,It has characters that are lovable and memorable. It has a story with a great moral. It has songs that are catchy and unforgettable. And it has animation that is some of the best for its time.
1.0,pinocchio_1940,"Disney gives a charming film with amazing animation, dark moments, great music, lovable characters, and an investing plot, making it arguably the best Disney movie of all time."
