label,name,review
1.0,searchers,This is His GREATEST Work. This should have been his Oscar film. It has proven the test of time. It;s funny how none of the Academy Awards films of 1956 are?BEST MOTION PICTURE WINNER - MARTYNOMINEESLOVE IS A MANY-SPLENDORED THINGMISTER ROBERTSPICNICTHE ROSE TATTOO
1.0,searchers,A John Wayne movie which develops character and is not your typical shoot-em up westernreally enjoyed
0.0,searchers,"This movie reeks of white male entitlement, sexism, racism and manifest destiny. The fact that so many have rated it highly is a testament to modern white male entitlement, sexism, racism and manifest destiny."
1.0,searchers,"""YOU SPEAK GOOD COMANCHE. SOMEONE TEACH YOU?"""
1.0,searchers,"The Searchers was definitely a treat to sit through. From its great musical score, amazing action scenes, terrific script, and fantastic performances (particularly from John Wayne), it is regarded as one of cinema's finest westerns for a damn good reason!Overall Grade: A+ (10/10)"
1.0,searchers,"Has to be near top of the list in all genre of movies, of Westerns it is at the top. A near Perfect Movie. Wayne is brutal, maniacal and all too Human as Ethan Edwards. Rest of Cast in also Top Notch."
1.0,searchers,"A must see. A masterpiece. Perhaps, just the best movie in History.View several times, last time in the Filmoteca española (The Spanish Film Library, Madrid)"
1.0,searchers,May be the best western film ever made. Unapologeticly shows the struggle of life on the frontier and the thin line between revenge and redemption.
1.0,searchers,"Westerns have a history of simplification and, for a long time, needed a more thorough tackling of the genre. That is why John Ford's darker undertaking starring the Duke, himself, is both a relief and the greatest revisioning of the heart of Westerns."
1.0,searchers,Best Western ever alongside Unforgiven.
1.0,searchers,9.5/10. 11-20-2016.Original rating: 11-29-2012 (8/10)
1.0,searchers,Favorite movie hands down
1.0,searchers,One of the all time great movies
1.0,searchers,Visually one of the most beautiful films. Solid story and performances.
1.0,searchers,one of my all time favorites. I can watch this movie over and over again.
0.0,searchers,"Pretty but also really slow, linear and ultimately uninteresting"
1.0,searchers,One of the top ten movies ever made. You can watch it a hundred times and still not get it all in. It's Wayne and Ford at their absolute best.
1.0,searchers,One of the grandest films ever made.
1.0,searchers,The Searchers has beautiful photography with such elaborate details on composition and framing. The story intensifies as we are also given some good humour and lighter tones. The sweeping scope of the valleys and deserts are attractive and there's a great handle on its art production.
1.0,searchers,"my dad dropped my sister and i at the movie to see this, i was 11 and she 9. we loved it so much that we stayed and watched it twice. over the years i have watched it numerous times, great movie"
1.0,searchers,John Wayne's greatest
1.0,searchers,"Unforgiving and timeless, The Searchers is the definitive western film for all the right reasons."
1.0,searchers,"Beautiful, dark, amazing! Perfect western."
0.0,searchers,"Just found this to be boring, 'The Cowboys' is better."
1.0,searchers,"Great! When I was younger I didn't appreciate Wayne or John Ford. Now I watch ""anything"" with their name attached. This is the best movie with Wayne and Ford."
1.0,searchers,a classic western filmed in Utah just enjoyed watching in blue ray.beautiful horses to
1.0,searchers,Possibly the greatest of the Western genre with a fantastic performance from the Duke. Full review later.
1.0,searchers,Best Western ever made .John Wayne's best robbed of best Oscar by an actor also jim hunter is a moron this is not a racist movie its about the white mans fight against injins thank god there were no negros for mr. hunter to go to bat for
1.0,searchers,"One of the best westerns to have ever been released, The Searchers combines sweeping spectacle with Ford/Wayne's signature touches."
1.0,searchers,"There are a handful of films that I can watch that never get old. This is one of those. John Ford & John Wayne's greatest collaboration. Acting, cinematography, score, and plot are all the highest marks. The best western film ever made."
1.0,searchers,"Need I say more? If u don't like it, then you're not a man so go stick to your GAY ASS TWILIGHT SHIT!"
1.0,searchers,classic john wayne....
1.0,searchers,The. Best. Western. Ever. Made.
