label,name,review
1.0,1005339-dawn_of_the_dead,"Almost perfect. A few rough spots in the film, but this movie more than any not named Night of the Living Dead, provides the foundation for the Zombie genre. A classic."
1.0,1005339-dawn_of_the_dead,"My All-Time Favorite Movie. Blood, Guts and Gastric Juice...Survival Is Key and Avoiding The Undead is a Tough Thing to do when the World is Plagued with every recently Dead Body Roaming Around trying to Eat you for Dinner...Ahhh and I Frakin' Love It!!!"
1.0,1005339-dawn_of_the_dead,"The most compelling zombie film of all-time/ perfect blend of comedy, horror, and social commentary, a must see classic!!!"
1.0,1005339-dawn_of_the_dead,Greatest zombie movie ever made!!
0.0,1005339-dawn_of_the_dead,garbage overrated movie
1.0,1005339-dawn_of_the_dead,we got this man we got this by the ass! the best zombie film ever made everything perfect do i say more .
1.0,1005339-dawn_of_the_dead,A story that can be both beautiful and horrifying. Definitely one of the best horror movies of all time.
1.0,1005339-dawn_of_the_dead,"One of the best zombie movies made, the best? almost ...if night of the living dead had never been made. You became deeply involved in all the characters fly guy, ect."
1.0,1005339-dawn_of_the_dead,"A great film that is full of amazing social commentary, great make-up effects by Tom Savini and Great Direction by George A. Romero."
0.0,1005339-dawn_of_the_dead,"Though this is probably the most famous of Romero's saga, it is somehow my least favorite."
0.0,1005339-dawn_of_the_dead,"This, hands down, is one of the worst movies I have ever seen. So frickin' stupid. Horrible acting. Horrible script! Everyone is portrayed as a complete idiot. I don't get the hype and why it is so popular. It is complete junk!"
1.0,1005339-dawn_of_the_dead,BEST ZOMBIE MOVIE EVER!
1.0,1005339-dawn_of_the_dead,"The best zombie film ever made. Period. Although Romero doesn't prefer it, the Extended Cut is worth watching due to longer character development."
1.0,1005339-dawn_of_the_dead,best movie ever made.
1.0,1005339-dawn_of_the_dead,Probably the best zombie film ever made
1.0,1005339-dawn_of_the_dead,Words can't describe this masterpiece. Just see it for yourself
1.0,1005339-dawn_of_the_dead,"Without Dawn of the Dead, no zombie film today would be what it is or might not even exist. It says a lot about our society and has it's own style of social commentary and the way it blends these along with all the blood & gore, make it one of the best horror films ever made."
1.0,1005339-dawn_of_the_dead,"I am not a horros movie guy, and I hate zombie movies, but this one is so well done and extreme, I love it. It's just pure gore and thrill, with a lot of very funny scenes. No jumpscares, no running around and screaming, more faving fun."
1.0,1005339-dawn_of_the_dead,The grand daddy of all American zombie movies. As great as the remake was there are some elements in original that really make it superior in certain ways.
1.0,1005339-dawn_of_the_dead,"One of the best zombie movies, best horror movies, and best horror sequels ever made."
0.0,1005339-dawn_of_the_dead,"This, hands down, is one of the worst movies I have ever seen. So frickin' stupid. Horrible acting. Horrible script! Everyone is portrayed as a complete idiot. I don't get the hype and why it is so popular. It is complete junk!"
1.0,1005339-dawn_of_the_dead,"One of best, most entertaining zombie movies ever made. Way smarter than any zombie movie nowadays, with great characters, and terrific gore effects from Tom Savini."
0.0,1005339-dawn_of_the_dead,"The Unbelievable Acting, Ridiculous Make-Up, Terrible Screenplay and Bad Directing are making this movie painful to sit through"
1.0,1005339-dawn_of_the_dead,one of Romero's best works
1.0,1005339-dawn_of_the_dead,"Still an unmatchable zombie movie even if the make-up did not age very well, but the special effects and melted crayon blood is still stunning."
1.0,1005339-dawn_of_the_dead,"One of, if not the best zombie films ever made. It takes a simple idea and make's it as entertaining as it can be without doing anything stupid."
1.0,1005339-dawn_of_the_dead,I love this movie! 100% Classic
1.0,1005339-dawn_of_the_dead,The best zombie films for all generations
1.0,1005339-dawn_of_the_dead,The pinnacle of zombie films and the go-to film of several horror movies. Romero understands the survival and terror of humans.
1.0,1005339-dawn_of_the_dead,Best Zombie Ever!!!!!!!!
