label,name,review
1.0,big,"A. I really enjoyed this movie. Everything from the concept, to the humor, to Tom Hanks' excellent acting. This movie is just my style and pace."
1.0,big,"Phenomenally structured, and incredibly funny. Every time I watch ""Big"" I can't help giggling like a toddler the whole way through. This is pure cinematic joy."
1.0,big,"Big is a classic movie. It's a perfect movie. There are things in it that everyone can enjoy. With humor, charm, and wit, this is what true classic movies are made of. A+"
1.0,big,Superb. Potentially biased as I love this film.
1.0,big,best movie from the 80s
1.0,big,"One of the best Hanks movies. Looking at this movie after so many years, it still has the charm it had in 1988. It is full of funny moments and almost a perfect classic family film. Hehe."
1.0,big,"Sweet, funny and delightfully heartwarming. Big rides on the charms of Tom Hanks and the heart of it's screenplay"
1.0,big,One of my favorites.
1.0,big,i think it is my 1st or 2nd movie i ever seen for tom hankswhen i was 9 or 10 may bei still love it
1.0,big,Big manages to achieve a dream of being an adult having it's ups and downs
1.0,big,Big is an extremely funny and charming movie that can be enjoyed by all ages. Tom Hanks is excellent as the older Josh by playing the character with charisma and innocence. Highly recommend for a family movie night.
1.0,big,Classic comedy with Tom Hanks
1.0,big,Tom Hanks is magical in this movie!
1.0,big,One of the biggest and best movies of Tom's carrier.
1.0,big,So funny and memorable!
1.0,big,Tom Hanks at his best in the 1980s.
1.0,big,A boy makes a wish on a mechanical circus gypsy and becomes a grown-up in this funny bittersweet fairy tale classic.
1.0,big,"A perfect fantasy\comedy film with Tom Hanks in his arguably greatest performance, with many funny scenes and the entire film is just a pure entertainment with probably no flaws (subjective point of view)."
1.0,big,The perfect family movie not if ur kids are young it is a fun family comedy about a boy who want to be treat like a grown up but he soon realize it worth to be a kid now and become a grown up when ready
1.0,big,"Amazing, amazing movie! Tom Hanks, as always, is perfect in his role, this movie is hilarious, and the message is amazing! Definitely, one of my all-time favorites! A+"
1.0,big,This was a cute movie I liked it!
1.0,big,Great memories from my childhood. This movie is a classic.
1.0,big,One of those movies that I watched well over 100 times growing up. Still holds up.
1.0,big,"""Hanks has never been better"".Amazing movie with brilliant performances by Tom Hanks, Robert Loggia, And Elizabeth Perkins.Has a refreshing music score.My Favorite Part Was The Piano Scene."
1.0,big,"A movie that I feel everyone can relate to, there's a kid in all of us and the movie big has a great idea, and it's laugh out loud at times in heartfelt at other times a well made classic movie."
1.0,big,Vi en la tele la escena del piano gigante... verdaderamente. genial... un clásico
1.0,big,Remembering this classic!!! An oldie but a goodie!
1.0,big,Another great Tom hanks film. He's getting Big. Not a kid anymore. Love it!
1.0,big,"So old but great, fun movie"
1.0,big,This movie is just amazing! Tom Hanks performance as an early teenager stuck inside an adult body is unbelievable! Every moment has the potential of making you laugh or cry. This is one of Tom Hanks' bests.
