label,name,review,0
1.0,conversation,No Double Negatives in this conversation.,
1.0,conversation,"Obsession and paranoia at its finest, but it is the twists and turns that elevate this movie to the grandeur it deserves and it slyly comments on what role technology has in our future, way ahead of its time.",
1.0,conversation,An excellent movie made at the height of Watergate and security breaches.Gene Hackman plays a bugging expert who is paid to tape a private conversation.It weaves a grim and paranoid atmosphere and Hackman is superb.,
1.0,conversation,"This magnificent movie came out right between two Godfather films and is a bright example of Coppola's talent and attention to detail. But what makes this film truly remarkable is its atmosphere, its mystery and suspense. It is just so magnificent.",
1.0,conversation,"A masterpiece in every way, Hackman and Coppola give us a thoughtful, haunting and challenging film that leaves an indelible impression.",
1.0,conversation,What a psychological thriller. My nerves were shredded.,
1.0,conversation,Easily Coppola's best film.,
1.0,conversation,"Combining the aspects of a crime drama and paranoid thriller, Francis Ford Coppola masterfully directs the best movie of his career, containing not only plot twisting turns and an engaging character (through Gene Hackman's excellent performance), but resonant themes at the same time.",
1.0,conversation,A perfect movie. Which is more than I can say about The Godfather,
1.0,conversation,The Conversation is definitely one of Francis Ford Coppola's best work as well as being very psychological and scary.,
1.0,conversation,2-6-2016. Original rating: 11-20-2012 (9/10).,
1.0,conversation,"Nearly perfect. Tense, paranoid, beautiful. Hackman and Coppola at their best with cinematography and sound perfection.",
1.0,conversation,Brilliantly made 70's suspenseful thriller,
1.0,conversation,"Undoubtedly Francis Ford Coppola's one of the most underrated works. The Conservation is a intelligent taut thriller with chilling score and wonderful performance by Gene Hackman, the concept was mind-blowing and that too in 70's raising lots of question about advanced technology and privacy.",
1.0,conversation,"Though it's age is apparent, the message it conveys and the feelings it evokes are timeless and you'll be checking over your own shoulder long after the credits roll.",
1.0,conversation,Gritty. Original. Classic.,
1.0,conversation,Maybe the best use of sound ever in film.,
1.0,conversation,The only thing more insane than this movie coming out the same year Coppola made Godfather Part Two is that this movie might even be better.,
1.0,conversation,Francis Ford Coppola brings another masterpiece at hand. Incredible filmmaking here. Gene Hackman is stellar. This is his best performance in his entire career. Featuring the great late John Cazale and a young Harrison Ford.,
1.0,conversation,A classic study of paranoia. Cazale and Hackman at their very best.,
1.0,conversation,a hidden coppola gem,
1.0,conversation,"In many ways I liked this even more than Coppola's other film the year it was released. That other film, by the way, was THE GODFATHER PART II, so there you go.",
1.0,conversation,"Coppola's low budget thriller was sandwiched between his two most grandiose films, ""The Godfather Part II"" and ""Apocalypse Now."" It displays his versatility and also contains Gene Hackman's greatest performance.",
1.0,conversation,"Suspenseful, urgent and confounding. Filmed as masterfully as the Godfather and it's stylised direction has never dated, it's only unfortunate it doesn't get more recognition as a classic, which it is. From script to score it sets a solid benchmark for filmmaking that still stands.",
1.0,conversation,"One of the greatest films ever. So brilliant, such artistic value and a slow but suspenseful flawless plot, The Conversation is a true work of art at the height of American cinema in the 1970's.",
1.0,conversation,"My favorite Coppola film, yeah i said it. A brilliantly clever plot on top of deep statements on paranoia and surveillance and trust on top of a career best performance for hackman. He plays the fascinating Hairy caul so perfectly it can only be described as flawless. Completely holds up",
1.0,conversation,incredibly atmospheric. Featuring a phenomenal performance from Gene Hackman,
1.0,conversation,"Eerie, suspenseful, masterfully directed, and brilliantly acted, The Conversation is a masterpiece of cinema.",
1.0,conversation,"Gene Hackman nos brinda com uma performance inteligente, assim como o roteiro do também diretor Francis Ford Coppola. Está longe de ser o melhor filme do Cineasta nos anos 70, em seu pleno auge. Mas é inegável também que estamos diante de um de seus trabalhos mais completos.",
1.0,conversation,Fantastic film about obsession and paranoia. Gene Hackman is in top form as usual.Deliberately slow moving but worth the patience.,
1.0,conversation,an often overlooked gem/masterpiece from 'godfather' director coppola,
1.0,conversation,"The conversation is an absolute masterpiece, totally defying my expectations. This film nails the balance between avoiding movie conventions and delivering a piece that is engaging from start to finish. A great follow up to the godfather from coppola.",
1.0,conversation,"This would be your average thriller if not for the ending. The ending turns this normal thriller into a psychological thriller that makes you question if any of it was actually real. This is a great movie over shadowed by Francis Ford Coppola's other great works (The Godfather, Apocalypse Now)",
1.0,conversation,"Though some elements are a little dated and predictable, The Conversation is a great thriller with a very suspenseful plot.",
0.0,conversation,Awesome story destroyed by very slow pacing,
1.0,conversation,"What a captivating film. Fuck the Godfather's, this is Francis Ford Coppala's masterpiece.",
1.0,conversation,magnificent film that is much more then just a thriller. great way to transmit main character's obsession with repeated parts of dialog he think,
0.0,conversation,Boring. So slow. Yawn. 1/5.,
1.0,conversation,"This taut, obsessive thriller that provides important extraordinarily innovative opinions regarding technology's place in civilization.",
1.0,conversation,5/5 bästa man sett av Hackman,
1.0,conversation,Haunting and unsettling portrait of paranoia played perfectly by Hackman. One of the many Coppola masterpieces.,
1.0,conversation,Absolute stunning masterpiece!,
