label,name,review
1.0,singin_in_the_rain,"This classic movie musical tells an interesting, but inspiring story that truly entertains."
1.0,singin_in_the_rain,"Great writing, great singing, great dancing, great acting, great costumes, great staging, great choreography and featuring the legs of Cyd Charisse (some of the greatest legs ever filmed), this is just an all around great movie. If this doesn't make you smile, then you are dead inside."
1.0,singin_in_the_rain,"These songs live in my head... ""Make 'em laugh"" is my favorite."
1.0,singin_in_the_rain,"By far the best musical out there! Amazing colors and dynamic story, not to mention the great music with fantastic actors."
1.0,singin_in_the_rain,what a glorious movie! crème de la crème of musicals...
1.0,singin_in_the_rain,"This movie made me feel so happy. It has great performances, romance, metalanguage and a lot of humor and I like this combination."
1.0,singin_in_the_rain,Beautiful and lively love story!
1.0,singin_in_the_rain,Best movie I've ever watched in my life
1.0,singin_in_the_rain,"Arguably the best movie musical of all time. Humorous, great story arc, supremely entertaining songs & dances; a great homage to the history of film."
1.0,singin_in_the_rain,"Entertaining and just cracks smiles, Singing in The Rain is the greatest musical of all time"
1.0,singin_in_the_rain,Es un clásico! :D I'm singing in the rain Just singing in the rain What a glorious feeling I'm happy again!
1.0,singin_in_the_rain,One of my favorite movies of all time. An excellent master class on how to make a good jukebox musical and just overall and excellent movie.
1.0,singin_in_the_rain,My favorite movie of all time
1.0,singin_in_the_rain,By far one of the most extraordinary musicals ever filmed!
1.0,singin_in_the_rain,"Jean Hagan is so hilarious in this movie, and the whole thing manages to be insanely cheerful without being sappy. It's delightful."
1.0,singin_in_the_rain,The most perfect musical <3
1.0,singin_in_the_rain,A great classic. Definition of genre defining work. Lots of good music/songs.
1.0,singin_in_the_rain,All time best movie IMO !!! So fun.
1.0,singin_in_the_rain,Between Sound of Music and this for greatest musical of all time!
1.0,singin_in_the_rain,Loved it from the witty dialogue to the intense tap dance to the hilariously bad voice over of Lina
1.0,singin_in_the_rain,To this day my favorite movie musical.
1.0,singin_in_the_rain,Absolute masterpiece!!
1.0,singin_in_the_rain,Watch this movie without smiling. I DARE YOU.
1.0,singin_in_the_rain,Absolutely breathtaking. Every single scene.
1.0,singin_in_the_rain,Why did I wait so long to see this? I can see why it's considered the greatest musical of all-time. Glad I purchased it instead of renting as I'm sure to watch this again over the years :)
1.0,singin_in_the_rain,The best musical ever made. Great acting all around. The script is hilarious. The direction is beautiful. The cinematography is gorgeous. RIP Debbie Reynolds
1.0,singin_in_the_rain,"10 out of 10:Singing in the Rain still holds up due to the amazing song and dance numbers, funny slapstick, and witty dialogue."
1.0,singin_in_the_rain,Wonderful movie. Lost count of how times I've watched it.
1.0,singin_in_the_rain,"And now we have lost Debbie Reynolds,but we still have the greatest musical ever made"
1.0,singin_in_the_rain,"What a pleasure to watch that masterpiece again. One can only be in awe in front of Gene Kelly's incredible gift as a dancer and a shining actor. A real dose of positiveness teaching life lessons in best possible way. Hollywood at its best, the Hollywood we miss so much."
1.0,singin_in_the_rain,"A quotable, relatable, hilarious classic that demands to be viewed time and time again."
1.0,singin_in_the_rain,Singin' in the Rain very well might be my new favorite movie of all-time.One of the most joyful films I've ever experienced. This film oozes happiness and fun. I can't believe it took me so long to see this.
1.0,singin_in_the_rain,"This movie is a must see. Great comedy, dance and music."
1.0,singin_in_the_rain,Absolutely amazing and one of the best movies ever made.
1.0,singin_in_the_rain,I love listening to Bring Crosby
1.0,singin_in_the_rain,Watching Singin' In The Rain on crystal-clear BluRay is indistinguishable from viewing a jocular reverie through a kaleidoscope. It just makes you feel good and can make even the darkest of souls chuckle with delight.
1.0,singin_in_the_rain,saw it again in arclight theater tonight and had a blast. off the chart charming and beautifully told with incredible musical numbers and performances!
1.0,singin_in_the_rain,"An excellent look at how movies in the 1920's were made while also having fantastic music, believable romance, fantastic choreography that inspired the king of pop himself, Singing in the Rain is a classic masterpiece while also based on one of the best songs ever written."
1.0,singin_in_the_rain,"""Singin' in the Rain"" has remained a defining musical for the 1950s era and the modern era."
1.0,singin_in_the_rain,"The classic of classics when it comes to musicals, a wonderful movie that is light, entertaining and funny with priceless dialogue and amazing choreography - and where even an out-of-place Broadway number is delightful enough to make us forgive it for being there."
1.0,singin_in_the_rain,What every musical strives to be
1.0,singin_in_the_rain,This lighthearted comedy-musical will have you humming its tunes for weeks. No better prescription can be found for a bad day. Singin' in the Rain will lift your spirits and leave you thoroughly entertained.
1.0,singin_in_the_rain,"Singin' in the Rain is the greatest musical in the history of film. The plot was genius and fun, the music was possibly some of the greatest of all time, and a great cast that is memorable and great. It truly desrves every bit of praise it has, I love this musical."
1.0,singin_in_the_rain,"A witty, endearing comedy-musical about the (evidently bumpy) transition of silent films to ""talkies."" Singin' In the Rain is a classic that has aged divinely, with genuine laughs, charm and timeless songs throughout. It's pretty much a perfect film in every way."
1.0,singin_in_the_rain,Gene Kelly makes this musical comedy delightfully and visually entertaining with complex tap dancing surrounded by an outstanding cast in this legendary Hollywood classic.
1.0,singin_in_the_rain,I always love singing in the rain!
1.0,singin_in_the_rain,"This film is unparalleled in its ability to do one thing: expedite brain cum (or as science would have it, endorphins)"
1.0,singin_in_the_rain,I never felt so giddy and laughed so much as I did watching this film. The charm of this film is infinite and makes every moment and musical number is a living Classic.
1.0,singin_in_the_rain,"'Singin' in the Rain' is still a proven feast for the eyes and ears, full of charisma and intelligence and laughter."
1.0,singin_in_the_rain,"The best musical I've ever seen. It has everything you want, great story, incredible choryography & great songs, topped off by top-notch cast. The perfect movie for an afternoon when you just want to be lazy and entertained."
1.0,singin_in_the_rain,The Best musical film . . . ever.
1.0,singin_in_the_rain,"Probably the greatest Hollywood musical, Singin' in the Rain expertly blends incisive humor, show-stopping musical numbers, and a moving story."
1.0,singin_in_the_rain,A highly entertaining musical with an absolutely incredible use of colour and dancing
1.0,singin_in_the_rain,A timeless masterpiece that only knows how to make its audience smile.
1.0,singin_in_the_rain,"A near perfect film about the industry, whose only flaw is an unnecessary musical number towards the end. Gene Kelly really shines in every scene. Singin' In the Rain is easily one of the greatest American films ever made."
1.0,singin_in_the_rain,This is my favourite musical. It's the peak of MGMs amazing streak of musicals in the 1950s and the peak of Gene Kelly's career. It's a film I simply feel unbelievably happy when I watch.
1.0,singin_in_the_rain,??????????????????????????????????????????????????????????????????????????????????????????????????????Donald O'Connor??????????????????????
1.0,singin_in_the_rain,Best movie of all time. period.
1.0,singin_in_the_rain,Watched in my Theater 1 class.
1.0,singin_in_the_rain,"One of the happiest films ever made with some brilliant tunes, eye-popping visuals and lots of extra-smart, funny dialogue. Perfection."
1.0,singin_in_the_rain,One of our family's favorites. Good every time.
1.0,singin_in_the_rain,One of those oldie films that endures the test of time with a quick and original plot...plus your usual half-hour Gene Kelly LSD trip at the end.
1.0,singin_in_the_rain,Brilliant film. Loved it since i was a kid.
1.0,singin_in_the_rain,"I hate musicals, but this was absolutely fantastic. Funny as could be, wonderfully entertaining, classic dancing and singing, wrapped up in an adorable story. This movie is a musical and movie masterpiece."
1.0,singin_in_the_rain,The best musical put on film. Gene Kelly is triumphant!
1.0,singin_in_the_rain,I really love this movies. Brilliant script with amazing music. One of the greatest films of all time.
0.0,singin_in_the_rain,The book was better.
1.0,singin_in_the_rain,..... just singin' and dancing in the rain ......
1.0,singin_in_the_rain,There would be nothing more I could add to what has already been said about this movie. Brilliantly entertaining. My favorite musical.
1.0,singin_in_the_rain,"I loved this movie... the type of acting you normally only see on stage, brought to life with amazing talent and the best routines and choreography. amazing!"
1.0,singin_in_the_rain,"Enjoyable on every level. Comedic, great music, and all amazing dancers. Gene Kelly makes this a classic."
1.0,singin_in_the_rain,This film is an incredibly timeless one with humour that everyone can relate to and a simple plotline giving a lot of insight into the film industry at the time. The music is brilliant and the talent in the cast is unbelievable. They really don't make them like this anymore!
1.0,singin_in_the_rain,"The best Hollywood musical of all time. The film's soundtrack leaves you ""Singin' in the Rain"""
1.0,singin_in_the_rain,"Brilliant, funny and based on the awful transition of Hollywood films from the silent to the sound era. A joy to watch!"
1.0,singin_in_the_rain,"Spirited and catchy, viewers everywhere will love to see why Don Lockwood is so keen to go Singin' in the Rain."
1.0,singin_in_the_rain,Hands down the best musical of Hollywood's golden age.
1.0,singin_in_the_rain,Such a classic musical.
1.0,singin_in_the_rain,"No deja de ser divertida, cada vez que la veo ningún chiste o ninguna canción envejece o pierde su pureza. No debe faltar en ninguna casa!."
1.0,singin_in_the_rain,Donald O' Connor is amazing
1.0,singin_in_the_rain,a bona fide classic......
1.0,singin_in_the_rain,Singing In The Rain is nothing short of A true gem of cinema due to its great wit and quite charming and delightful music
1.0,singin_in_the_rain,"I usually hate musicals, but I loved every single lovable moment of this film."
1.0,singin_in_the_rain,this is a funny ass movie
