label,name,review
1.0,invincible,Papale's at the 50.....the 40.....the 30.....the 20.....he's at the 10.....number 83 Vince Papale of the Philadelphia Eagles!!!
1.0,invincible,The story of Vince Papale will make a huge impression on you... Go Eagles!
1.0,invincible,"I'm a die hard, go hard or go home Philadelphia Eagles fan and this movie is for anyone including the ones who are NOT Philadelphia Eagles fans"
1.0,invincible,"Here's my takeaway from ""Invincible"": Never settle, keep reaching."
0.0,invincible,"Dull, lackluster, and ultimately, a boring repeat of the 2006 sports films that seems to be making it's way to cinemas like the plague."
1.0,invincible,Amazing story. I love movies based on True Stories!
1.0,invincible,"Such a great 'feel good movie' - great music and Mark W does a great job as always. If you want a good true story sports film, this is well worth the time to check out!"
1.0,invincible,This movie would've been better if it was about the Cowboys and not the Eagles. But it was still a GREAT movie.
1.0,invincible,Reaching for a dream
1.0,invincible,BEST INSPIRATIONAL SPORTS MOVIE
0.0,invincible,This is a generous rating
1.0,invincible,Should of probably been 30 mins longer but still a great movie.
1.0,invincible,A really great Disney feel good movie!
1.0,invincible,This movie is a must see if you love sports movies based on a true story
1.0,invincible,good way to tell the tale of my favorite football team
1.0,invincible,Great movie with some great music.
1.0,invincible,"What can I say, I love the eagles! Great movie with a lot of heart."
1.0,invincible,great movie about a eagles football fan who becomes a real philadelphia eagles player but has to work for it to happen and this movie makes better for mr since I am a philladelphia eagles fan.
1.0,invincible,One of the best feel good stories out there.
1.0,invincible,this movie wuz alright (pretty good) :)
1.0,invincible,what a great movie i love football
1.0,invincible,Fly Eagles Fly!Elizabeth Banks is so hot
1.0,invincible,Mark is so gosh dang HOT
1.0,invincible,This was a great movie too! It's very inspirational and proves that you can do anything with just a little motivation if you believe.
1.0,invincible,This has become one of my all-time favorites!
0.0,invincible,"pure crap, terrible football movie"
1.0,invincible,One of my favorite true stories and sports stories
1.0,invincible,inspirational and fun
1.0,invincible,The football action was great. Thogh half the story was made up it still had few real parts. Also it ende right at the good part.
1.0,invincible,Great movie show you that if you fight hard for what you want you can do anything in life
1.0,invincible,This one is truly the feel good movie for sports fans. Amazing that this is based on a true story on how Vince Papale became a receiver for the Philadelphia Eagles.
0.0,invincible,"As predictable as it gets, other then Avatar of course. Which fortunately is missing the heavily inserted period music to sell records."
1.0,invincible,must see very very good film on Vince Papale 10 out of 10
1.0,invincible,Really great story & movie
1.0,invincible,Invincible is Incredible!!!!!!!
1.0,invincible,Fly Eagles Fly!Elizabeth Banks is so hot
0.0,invincible,This is just ridicules...mark sucks...but you just have to learn to live with it..the movie sucks too...its just a croc full of shit...we get it..hes a nobody who gets to play for a useless team..and..yea it sucks too
1.0,invincible,I just love this movie
1.0,invincible,"An inspiring true story,"
1.0,invincible,I enjoyed this movie with great passion. Great story. The essence of true stories are unforgettable.
1.0,invincible,Awesome and True Football Movie
1.0,invincible,"one of the best sports films ever , a truly inspirational story"
1.0,invincible,Great movie about both sport and life.
1.0,invincible,Cool teen movie and manly film...
0.0,invincible,Good movie to watch when your asleep
1.0,invincible,"In my top 5 of all time,,, but I'm a football junky,,, plus it's a true story"
1.0,invincible,I like this one. they story was a bit comfusing but I soon knew what was going on.
1.0,invincible,a man that had a dream to become a pro an he did it he work hard i mean a guy that can push himslef into fulfulling all the dutys to chace one dream was him
1.0,invincible,WOW! What a great film! Where did this Mark Wahlberg kid come from?
1.0,invincible,The elements of the earth bestowed onto people who have to team up with their individual power to create an unstoppable force.
1.0,invincible,good movie.seen it 7 times
1.0,invincible,I love these underdog movies especially the ones based on true stories I also happen to love Elizabeth Banks Mark Wahlberg and Greg Kinnear
1.0,invincible,Awesome movie.Have you believing you can do what it is you set out to do at any age. I love this movie.
0.0,invincible,not in to it to much
1.0,invincible,DSARANKN TONTON! pngajaran [usia bkn pnghalang tok brjaya]
1.0,invincible,Great movie minus the 70's drag
1.0,invincible,My favorite movie that shows how no one should give up
1.0,invincible,Very Good Movie !!!!!! Mark Wahlberg was excellent...... since it is based on a true story it motivates that no matter whatever the situation is one's strong belief and faith gives rewards..............
1.0,invincible,favorite football movie
1.0,invincible,Eagles. Movie. You Kiddin Me?
1.0,invincible,Best sports movie ever made in my opinion. Mark Wahlberg does an outstanding job portraying Vince Papale. This movie is motivating for me! Great story that capture's many guys' dreams of playing NFL ball.
1.0,invincible,i love sports movies and alot of them are based on true stories.
1.0,invincible,"this movie gets me fired up when I'm feeling down, it lets you know anything is possible if you try hard enough"
1.0,invincible,"It is an inspirational movie, This movie should be shown in Schools. I loved it, every minite of it, thats qulity time spend, it was like a reading a great book. Mark Wahlberg, what can I say, he has nailed it. this is such a lovely movie."
1.0,invincible,if theiris a movie I can relate to...this is t!
1.0,invincible,An INSPIRING movie about my favorite sport
1.0,invincible,"This is a such a great movie. It is a great inspiration, it just goes to show that if the chance is there and you want something bad enough you can do anything. Oh great story..."
1.0,invincible,Best movie for depicting the actual intensity of football..great story...
1.0,invincible,one of my favorite movies. do you know why?
1.0,invincible,"I love Mark Wahlberg and Greg Kinnear anyway, but this movie is the tops. Great go getter, feel good, happy ending, true story, laugher, tears, clapping and football...what more could you ask for?  Recommendation - A must see. Two clefs up!"
0.0,invincible,"Football movies are an appeal to the inner-testosterone of every male that has ever played the sport. They are all the same and all lame. If you have a tad bit of doubt that this one is different, it's not."
1.0,invincible,very inspiring football movie...
1.0,invincible,"Such a great feel-good film. It always makes my day when I see it!! It's just so cute, and even though it's a American Football film, it rocks!"
0.0,invincible,A series of the same boring cliches you've seen a million times before. This movie should have come out in 1976 where it might have been fresh and new. The documentary on the DVD about Vince Papale was more interesting than the movie itself.
0.0,invincible,Wickedly boring and predictable biopic. And the soundtrack sounds like Q107 on an average day -tired.
1.0,invincible,"amazing story, and i loved the romance that came about in the end with his friends sister ;) was beautiful."
1.0,invincible,I love this story. Great sports action with enough good shots of Mark W!
1.0,invincible,Great Inspiration to never give up
1.0,invincible,mark wahlberg is the man
1.0,invincible,I thought it was pretty good. He's a hard worker and is loyal to his friends. Good story about someone in real life.
1.0,invincible,Best sports movie out there!
1.0,invincible,"Great movie. And to cap it all off, he gets his girl! Very sweet! Of course everyone knows that the Cowboys would beat the Eagles in week one!"
1.0,invincible,Can't see this movie often enough.
1.0,invincible,great football movie
1.0,invincible,aaah Mark Wahlberg ;)
1.0,invincible,one of the best football movies iv seen
1.0,invincible,E-A-G-L-E-S Eagles. The greatest football team ever to play the game of football
1.0,invincible,just watched the movie. its really interesting..
1.0,invincible,the best football movie ever
1.0,invincible,My team the Philadelphia Eagles!!!!!               Go EAGLES!!!!!!!!
1.0,invincible,one of my favorite moviesmarky mark is great in this
1.0,invincible,Probably my favorite football movie ever! Being from Philadelphia and seeing the movie in Philly with a cheese steak in my belly made it even better!
1.0,invincible,what a great story told here. i'm a huge sports fan and i love sports movies esp ones like this. wahlberg kills in every movie he does and he did in this film as well.
0.0,invincible,Blah. Mark Wahlberg should let Sean Astin keep the football movie genre.
1.0,invincible,"Great inspirational movie about being down and out. If you have heart and character, you can achieve alot!!!"
1.0,invincible,greatest football movie ever
1.0,invincible,Really good heart warming family movie!!
